time;x;y
6303.5261194029845;581.5;415.5
6336.878109452736;589.5;413.5
6370.230099502487;589.5;415.5
6403.582089552238;589.5;427.5
6436.93407960199;589.5;421.5
6470.286069651741;588.5;430.5
6503.638059701492;593.5;441.5
6536.9900497512435;599.5;441.5
6570.342039800995;592.5;452.5
6603.694029850746;595.5;445.5
6637.046019900497;599.5;452.5
6670.398009950249;606.5;469.5
6703.75;605.5;469.5
6737.101990049751;602.5;482.5
6770.453980099503;604.5;486.5
6803.805970149254;604.5;486.5
6837.157960199004;601.5;491.5
6870.509950248756;613.5;487.5
6903.861940298507;607.5;497.5
6937.213930348258;610.5;505.5
6970.565920398009;613.5;498.5
7003.917910447761;606.5;510.5
7037.269900497512;617.5;511.5
7070.621890547263;619.5;515.5
7103.973880597015;616.5;530.5
7137.325870646766;615.5;518.5
7170.677860696517;616.5;532.5
7204.0298507462685;629.5;536.5
7237.38184079602;633.5;533.5
7270.733830845771;623.5;543.5
7304.085820895522;628.5;542.5
7337.437810945274;627.5;549.5
7370.789800995025;623.5;545.5
7404.141791044776;632.5;562.5
7437.493781094527;631.5;568.5
7470.845771144278;635.5;559.5
7504.197761194029;642.5;554.5
7537.5497512437805;641.5;561.5
7570.901741293532;651.5;563.5
7604.253731343283;651.5;569.5
7637.605721393034;647.5;581.5
7670.957711442786;656.5;589.5
7704.309701492537;671.5;579.5
7737.661691542288;663.5;590.5
7771.01368159204;667.5;580.5
7804.365671641791;674.5;586.5
7837.717661691542;688.5;596.5
7871.0696517412935;678.5;586.5
7904.421641791045;676.5;602.5
7937.773631840796;678.5;618.5
7971.125621890547;682.5;616.5
8004.477611940299;697.5;613.5
8037.829601990049;691.5;618.5
8071.1815920398;695.5;621.5
8104.533582089552;697.5;618.5
8137.885572139303;697.5;627.5
8171.237562189054;704.5;616.5
8204.589552238805;706.5;621.5
8237.941542288558;719.5;623.5
8271.293532338308;716.5;638.5
8304.645522388058;725.5;627.5
8337.99751243781;719.5;632.5
8371.349502487561;726.5;644.5
8404.701492537313;730.5;649.5
8438.053482587064;733.5;632.5
8471.405472636816;745.5;645.5
8504.757462686566;740.5;650.5
8538.109452736318;747.5;649.5
8571.461442786069;739.5;650.5
8604.813432835821;744.5;647.5
8638.165422885571;746.5;650.5
8671.517412935324;772.5;648.5
8704.869402985074;778.5;658.5
8738.221393034826;775.5;662.5
8771.573383084577;773.5;650.5
8804.925373134329;775.5;659.5
8838.27736318408;789.5;661.5
8871.629353233831;794.5;665.5
8904.981343283582;789.5;660.5
8938.333333333332;793.5;661.5
8971.685323383084;806.5;659.5
